user_id,article_1,article_2,article_3,article_4,article_5
200000,194935,286735,195645,191929,195789
200001,199198,272143,64329,174691,313620
200002,61375,202701,73366,293301,156654
200003,336254,289003,277107,331116,36162
200004,277107,336254,289003,283009,331116
200005,156964,58565,61196,314578,234698
200006,20691,96210,336245,183176,307561
200007,336254,97530,157478,289003,57966
200008,336254,277107,289003,352979,283009
200009,198659,199198,64329,324823,187065
200010,157332,218337,96077,156447,260859
200011,107301,272143,198659,182394,166228
200012,128260,111043,119534,181585,277492
200013,57616,284583,20691,96244,236610
200014,199197,162765,156560,337890,336476
200015,336221,156964,235870,214631,64409
200016,20691,284583,96244,57616,336245
200017,66280,107073,70731,66080,195017
200018,20691,284583,236610,96210,57616
200019,121834,261612,273309,352555,20553
200020,336221,289090,336220,234698,32082
200021,198659,199198,64329,199197,324823
200022,336221,235870,156964,235616,64409
200023,235854,354086,277492,119534,198275
200024,336254,277107,289003,283009,39894
200025,293301,156654,257291,233717,289126
200026,286336,283041,124723,283327,272143
200027,145588,271146,194200,145532,195877
200028,348111,285298,129029,182513,341838
200029,277107,336254,331116,289003,157478
200030,336223,303180,59057,288320,141004
200031,272218,301030,97082,338339,108856
200032,199197,162765,156560,337890,336476
200033,20691,284583,236610,57616,96210
200034,59057,87179,214206,141004,161801
200035,271262,313920,236610,283764,225010
200036,234698,235870,95716,336221,156964
200037,336221,234698,95716,31520,235870
200038,336476,348111,191078,61790,233728
200039,225055,224486,149610,106784,224355
200040,336476,348111,107039,59829,71500
200041,336254,289003,157478,30389,331116
200042,59057,161506,141004,214283,133160
200043,338340,293050,224763,100929,123909
200044,119534,277492,183176,354086,128260
200045,166129,159275,298853,336934,337143
200046,353012,251110,123909,145608,352620
200047,96210,288440,336245,20691,183176
200048,326859,182513,348134,272143,129029
200049,107177,320341,284583,293513,70079
200050,96210,336245,277492,337192,183176
200051,198659,199198,64329,324823,187065
200052,58580,313920,271262,225010,20691
200053,277492,288435,119534,183176,128260
200054,250043,57616,96210,271262,284583
200055,183176,119534,159938,277492,32082
200056,288827,70429,202320,289003,285908
200057,272762,83485,96152,218789,123434
200058,289003,336254,157478,331116,206785
200059,336254,289003,157478,218028,57966
200060,59057,288320,336223,48403,31836
200061,277492,128260,119534,354086,336221
200062,203260,361742,208500,225019,263386
200063,59057,161506,141004,235652,214283
200064,198659,199198,64329,324823,187065
200065,59057,161506,161801,141004,63307
200066,59057,336223,270229,300593,315105
200067,156964,235870,336221,234698,235616
200068,234698,336221,235870,59057,336220
200069,277107,289003,39894,336254,283009
200070,326859,182513,348134,272143,129029
200071,337143,293513,58580,270607,20691
200072,303180,59057,336223,48403,31836
200073,336220,277492,235854,234698,128260
200074,59057,161506,236541,161801,235652
200075,293114,293050,123826,124350,284985
200076,234698,336221,300082,293218,29953
200077,225374,224864,166338,107039,159847
200078,324823,198659,199198,13811,96077
200079,283009,336254,157478,277107,39894
200080,255747,255188,256026,254414,182312
200081,149612,235616,336221,234698,161506
200082,199197,162765,156560,337890,336476
200083,50504,270607,293513,245161,285377
200084,277107,289003,336254,157478,283009
200085,59057,270229,336223,289186,271261
200086,284985,293114,293050,123289,96755
200087,277107,289003,331116,336254,57966
200088,199197,162765,156560,337890,336476
200089,277107,289003,39894,336254,283009
200090,293301,233717,276946,58606,198659
200091,303335,284096,183176,119578,277492
200092,123289,312619,313242,276970,315088
200093,277107,39894,289003,336254,352979
200094,59057,303180,336223,119193,133160
200095,209236,218028,331116,162378,206120
200096,234698,336221,59057,235870,156964
200097,235870,336221,336220,234698,95716
200098,336254,283009,277107,39894,289003
200099,236610,284583,20691,293513,271262
200100,20691,96210,183176,111043,336245
200101,225317,316276,97452,177494,336221
200102,293301,129029,187065,159762,233717
200103,235084,236522,136053,257732,234446
200104,288528,293513,199474,284583,96210
200105,234698,32082,289090,336220,336221
200106,331116,218028,289003,336254,157478
200107,337143,251522,236610,32502,20691
200108,20691,336245,284583,337441,288440
200109,299834,300923,300755,224658,300128
200110,293114,293062,313996,338340,331737
200111,336254,289003,39894,157478,331116
200112,156964,234698,336221,58565,300082
200113,276970,299152,123909,237524,168623
200114,293513,57616,20691,236610,285377
200115,199197,162765,156560,337890,336476
200116,59057,288320,336223,31836,161506
200117,277492,289090,284096,128260,336220
200118,285333,59057,336223,31836,288320
200119,20691,211723,96210,271262,284583
200120,336254,289003,331116,157478,39894
200121,119534,277492,128260,183176,354086
200122,336254,289003,157478,57966,331116
200123,336254,277107,289003,157478,331116
200124,20691,293513,336245,285377,236610
200125,234698,235870,95716,235616,336221
200126,289003,331116,336254,277107,39894
200127,199197,272143,284547,313431,129029
200128,277107,336254,289003,331116,283009
200129,59057,214283,214206,133160,161506
200130,107039,225374,50823,157332,224864
200131,288320,59057,336223,48403,119193
200132,352979,39894,30389,336254,283009
200133,187065,129029,313431,285298,272143
200134,39894,283009,336254,277107,352979
200135,20691,96210,336245,288440,337441
200136,236566,58580,283764,277067,313920
200137,277107,289003,336254,283009,352979
200138,336476,198659,64329,199197,199198
200139,70646,313431,284547,235230,206168
200140,289080,96210,20691,336245,24860
200141,277107,289003,283009,336254,39894
200142,313355,315088,216195,313166,215726
200143,32295,137714,332953,190197,30441
200144,293114,124748,293050,124350,284985
200145,336254,289003,57966,30389,331116
200146,331780,341565,157465,211455,293522
200147,336254,289003,331116,157478,57966
200148,272143,257831,107039,149623,286161
200149,320303,317804,277107,157478,319599
200150,277107,289003,336254,283009,331116
200151,271262,293513,313920,96210,183176
200152,299767,178365,300755,32714,299834
200153,331116,215613,199372,201789,202355
200154,234698,235870,95716,59057,300082
200155,124194,237524,123909,338340,182256
200156,123909,123757,111210,276946,214800
200157,183176,119534,277492,128260,307779
200158,352979,39894,30389,283009,277107
200159,59057,336223,31836,95716,288320
200160,277107,289003,202320,39894,336254
200161,202381,202320,207603,285908,206785
200162,61913,62599,61966,,
200163,331116,218028,4395,158664,307279
200164,234698,235870,336221,95716,277491
200165,233717,198659,175040,257291,293301
200166,277107,336254,289003,352979,30389
200167,336221,234698,235870,95716,336223
200168,277492,57584,336221,235854,289090
200169,277107,336254,331116,289003,36162
200170,270607,245161,50504,293513,285377
200171,276970,95972,156625,168623,36394
200172,199197,272143,235230,129029,64329
200173,299767,178365,300755,32714,299834
200174,338350,195843,115268,62751,
200175,199197,162765,156560,337890,336476
200176,96244,57616,96210,284583,20691
200177,182394,272143,198659,175040,64329
200178,235652,161801,59057,288320,270799
200179,284583,20691,96210,183176,57616
200180,303686,304788,303781,309499,338350
200181,283123,283933,190584,285638,215641
200182,277492,337192,119534,354086,128260
200183,31836,161506,59057,288320,236553
200184,198659,64329,199198,96077,324823
200185,9032,351530,4967,5054,3464
